"diputadoId";"nombre";"distrito";"sexo";"imagen"
425;"DE BARIAZARRA, Roberto Rodolfo";"Rio Negro";"m";
426;"DE BERNARDI, Eduardo";"Chubut";"m";"A4400.jpg"
427;"DE BRASI, Marta Susana";"Cdad.Aut.Bs.As.";"f";"A4334.jpg"
428;"DE FERRARI RUEDA, Patricia";"Córdoba";"f";"A50714.jpg"
429;"DE GENNARO, Victor Norberto";"Buenos Aires";"m";"A50691.jpg"
430;"DE LA BARRERA, Guillermo";"Catamarca";"m";"A4335.jpg"
431;"DE LA ROSA, Maria Graciela";"Formosa";"f";"A4336.jpg"
432;"DE MARCHI, Omar Bruno";"Mendoza";"m";"A4507.jpg"
433;"DE MARTINO, Victor Amador";"Buenos Aires";"m";
434;"DE MENDIGUREN, José Ignacio";"Buenos Aires";"m";"A50785.jpg"
435;"DE NARVAEZ, Francisco";"Buenos Aires";"m";"A4441.jpg"
436;"DE NUCCIO, Fabián";"Buenos Aires";"m";"A4098.jpg"
437;"DE PAULA, Victor Francisco";"Buenos Aires";"m";
438;"DE PEDRO, Eduardo Enrique";"Buenos Aires";"m";"A50675.jpg"
439;"DE PONTI, Lucila";"Santa Fe";"f";"A50970.jpg"
440;"DE PRAT GAY, Alfonso";"Cdad.Aut.Bs.As.";"m";"A4800.jpg"
441;"DE SANCTIS, Guillermo Horacio";"San Juan";"m";
442;"DE VIDO, Julio Miguel";"Buenos Aires";"m";"A50894.jpg"
443;"DEL CAMPILLO, Héctor Eduardo";"Córdoba";"m";"A4619.jpg"
444;"DEL CAÑO, Nicolás";"Mendoza";"m";"A50844.jpg"
445;"DEL CASTILLO, Fernando Raul";"Buenos Aires";"m";
446;"DEL FABRO, Lilian del Carmen";"Santa Fe";"f";
447;"DEL RICCIO, Ana María del Carmen";"Formosa";"f";
448;"DELAJONQUIERE, Nelson";"Santa Fe";"m";
449;"D'ELIA, Roberto Antonio";"Buenos Aires";"m";
450;"DELICH, Andrés Guillermo";"Cdad.Aut.Bs.As.";"m";
451;"DELICH, Francisco";"Córdoba";"m";"A4488.jpg"
452;"DELLEPIANE, Carlos Francisco";"Buenos Aires";"m";"A4338.jpg"
453;"DEPETRI, Edgardo Fernando";"Buenos Aires";"m";"A4569.jpg"
454;"DI BENEDETTO, Gustavo Daniel";"Chubut";"m";"A4061.jpg"
455;"DI COLA, Eduardo Román";"Córdoba";"m";
456;"DI LANDRO, Oscar Jorge";"Buenos Aires";"m";"A4339.jpg"
457;"DI LEO, Marta Isabel";"Buenos Aires";"f";
458;"DI POLLINA, Eduardo Alfredo";"Santa Fe";"m";"A4340.jpg"
459;"DI STÉFANO, Daniel";"Misiones";"m";"A50957.jpg"
460;"DI TULIO, Hector Horacio";"Santa Cruz";"m";
461;"DI TULLIO, Juliana";"Buenos Aires";"f";"A4443.jpg"
462;"DIAZ BANCALARI, José María";"Buenos Aires";"m";"A19.jpg"
463;"DIAZ COLODRERO, Agustín";"Corrientes";"m";
464;"DIAZ COLODRERO, Luis María";"Corrientes";"m";
465;"DIAZ LOZANO, Julio César";"Tucumán";"m";
466;"DIAZ MARTINEZ, Jorge Raúl";"Catamarca";"m";
467;"DIAZ ROIG, Juan Carlos";"Formosa";"m";"A4500.jpg"
468;"DIAZ, Susana Eladia";"Tucumán";"f";"A4341.jpg"
469;"DIEZ, María Inés";"Salta";"f";"A4681.jpg"
470;"DIGON, Roberto";"Cdad.Aut.Bs.As.";"m";
472;"DINDART, Julián";"Corrientes";"m";"A50941.jpg"
473;"DOGA, María Nélida";"Buenos Aires";"f";"A4342.jpg"
474;"DOMINA, Esteban Alberto";"Córdoba";"m";
475;"DOMINGUEZ, Dolores Carmen";"Cdad.Aut.Bs.As.";"f";
476;"DOMINGUEZ, Julián Andrés";"Buenos Aires";"m";"A50671.jpg"
477;"DOMINGUEZ, Lorenzo Sebastian";"Santa Fe";"m";
478;"DOMINGUEZ, Ramon Alfredo";"San Luis";"m";"A51033.jpg"
479;"DOMSIC, Lidia Catalina";"Mendoza";"f";
480;"DONDA PEREZ, Victoria Analía";"Buenos Aires";"f";"A4657.jpg"
481;"DONDA PEREZ, Victoria Analía";"Cdad.Aut.Bs.As.";"f";"A4657.jpg"
482;"DONKIN, Carlos Guillermo";"Formosa";"m";"A4839.jpg"
483;"DONNI, Luisa Cristina";"Santa Fe";"f";
484;"DOÑATE, Claudio Martín";"Rio Negro";"m";"A50959.jpg"
485;"DOVENA, Miguel Dante";"Buenos Aires";"m";"A4444.jpg"
486;"DRAGAN, Marcelo Luis";"Tierra del Fuego";"m";
487;"DRAGICEVIC, Carmen Nilda";"Tierra del Fuego";"f";
488;"DRISALDI, María Rita";"Santa Cruz";"f";
489;"DUCLOS, Omar Arnaldo";"Buenos Aires";"m";"A50692.jpg"
490;"DUFOU, Pedro Alfredo";"Buenos Aires";"m";
491;"DUMON, José Gabriel";"Buenos Aires";"m";
492;"DURAND CORNEJO, Guillermo Mario";"Salta";"m";"A50854.jpg"
493;"DURAÑONA y VEDIA, Francisco";"Buenos Aires";"m";
494;"DURE, Lucila Beatriz";"Formosa";"f";"A51001.jpg"
495;"DURRIEU, Marcela Margarita";"Buenos Aires";"f";
496;"DUSSOL, Ramón Adolfo";"Chaco";"m";
497;"DUTTO, Gustavo Alberto";"Buenos Aires";"m";"A4836.jpg"
498;"ECHEGARAY, Alejandro Carlos Augusto";"Buenos Aires";"m";"A50904.jpg"
499;"ECHEVARRIA, Luis María";"Buenos Aires";"m";
500;"EHCOSOR, María Azucena";"Buenos Aires";"f";"A50786.jpg"
501;"ELIAS, Angel Mario";"Santa Fe";"m";
502;"ELICECHE, Carlos Tomas";"Chubut";"m";"A50700.jpg"
503;"ELIZONDO, Dante";"San Juan";"m";"A4099.jpg"
504;"ELORRIAGA, Osvaldo Enrique";"Entre Ríos";"m";"A50723.jpg"
505;"ERRO, Norberto Pedro";"Buenos Aires";"m";"A4650.jpg"
506;"ESAIN, Daniel Martín";"Mendoza";"m";"A4054.jpg"
507;"ESCALANTE ORTIZ, Herminia Elsa";"Corrientes";"f";
508;"ESCOBAR, Jorge Alberto";"San Juan";"m";
509;"ESPECHE, Alberto Luis";"Salta";"m";
510;"ESPER, Laura Reneé";"Buenos Aires";"f";"A50787.jpg"
511;"ESPINDOLA, Gladys Susana";"Córdoba";"f";"A4820.jpg"
512;"ESPINOLA, Barbara Ines";"Buenos Aires";"f";
513;"ESTEBAN, Silvia Graciela";"Santa Cruz";"f";"A4343.jpg"
514;"ESTEVEZ BOERO, Guillermo E.";"Santa Fe";"m";
515;"ESTEVEZ, Gabriela";"Córdoba";"f";"A50936.jpg"
516;"ESTRADA, Arnaldo Damian";"Salta";"m";
517;"ETCHEVEHERE, Arturo Roosevelt";"Entre Ríos";"m";
518;"FABIANI, Eduardo";"Buenos Aires";"m";"A50788.jpg"
519;"FABRIS, Luciano";"Chaco";"m";"A4480.jpg"
520;"FABRISSIN, Carlos Alberto";"Santa Fe";"m";
521;"FADEL, Mario Nallib";"Catamarca";"m";
522;"FADEL, Patricia Susana";"Mendoza";"f";"A4344.jpg"
523;"FADUL, Liliana";"Tierra del Fuego";"f";"A4741.jpg"
524;"FAJARDO, Juan Carlos";"Mendoza";"m";
525;"FALBO, María del Carmen";"Buenos Aires";"f";
526;"FALLETI, Julio Cesar José";"Neuquén";"m";
527;"FALU, José Ricardo";"Tucumán";"m";"A4100.jpg"
528;"FARIZANO, Juan Carlos";"Cdad.Aut.Bs.As.";"m";
529;"FAUSTINELLI, Hipólito";"Córdoba";"m";"A4804.jpg"
530;"FAVARIO, Carlos Alberto";"Santa Fe";"m";"A4744.jpg"
531;"FAYAD, Victor Manuel Federico";"Mendoza";"m";"A16.jpg"
532;"FEIN, Mónica Hayde";"Santa Fe";"f";"A4629.jpg"
533;"FELETTI, Roberto José";"Cdad.Aut.Bs.As.";"m";"A50702.jpg"
534;"FELGUERAS, Ricardo Ernesto";"La Pampa";"m";
535;"FELIX, Omar";"Mendoza";"m";"A4785.jpg"
536;"FELLNER, Eduardo Alfredo";"Jujuy";"m";"A4674.jpg"
537;"FELLNER, Liliana";"Jujuy";"f";"A4345.jpg"
538;"FERNANDEZ BASUALDO, Luis María";"Formosa";"m";"A4612.jpg"
539;"FERNANDEZ BLANCO, María Cristina";"Jujuy";"f";"A50890.jpg"
540;"FERNANDEZ de COMBES, Elsa A.";"Santa Fe";"f";
541;"FERNANDEZ de KIRCHNER, Cristina";"Santa Cruz";"f";
542;"FERNANDEZ GILL, Guillermo";"Buenos Aires";"m";
543;"FERNANDEZ LIMIA, Adan Noé";"Córdoba";"m";
544;"FERNANDEZ MEIJIDE, Graciela";"Buenos Aires";"f";
545;"FERNANDEZ MEIJIDE, Graciela";"Cdad.Aut.Bs.As.";"f";
546;"FERNANDEZ MENDIA, Gustavo";"La Pampa";"m";"A50839.jpg"
547;"FERNANDEZ SAGASTI, Anabel";"Mendoza";"f";"A50735.jpg"
548;"FERNANDEZ VALONI, José Luis";"Cdad.Aut.Bs.As.";"m";
549;"FERNANDEZ, Adrián Agapito";"Neuquén";"m";
550;"FERNANDEZ, Alberto Manuel";"Neuquén";"m";
551;"FERNANDEZ, Alfredo Cesar";"Mendoza";"m";"A4347.jpg"
552;"FERNANDEZ, Horacio Anibal";"La Pampa";"m";
553;"FERNANDEZ, Marcelo Omar";"Buenos Aires";"m";"A4707.jpg"
554;"FERNANDEZ, Nicolás Alejandro";"Santa Cruz";"m";
